Music_ID,Title,Artist,Album,Duration,Genre,Release_Date
55,\ud30c\uc774\ud305 \ud574\uc57c\uc9c0 (Feat. \uc774\uc601\uc9c0),\ubd80\uc11d\uc21c,\ubd80\uc11d\uc21c 1st Single Album 'SECOND WIND',0:03:59,Dance,2023.2.6
56,\ud574\uc694 (2022),#\uc548\ub155,\ud574\uc694 (2022),0:03:28,Ballad,2022.6.7
57,\uc6b0\ub9ac\ub4e4\uc758 \ube14\ub8e8\uc2a4,\uc784\uc601\uc6c5,IM HERO,0:03:22,Ballad,2022.5.22
58,3D (feat. Jack Harlow),\uc815\uad6d,3D (feat. Jack Harlow),0:03:20,Dance,2023.9.29
59,Dynamite,\ubc29\ud0c4\uc18c\ub144\ub2e8,Dynamite (DayTime Version),0:03:41,Dance,2020.8.21
60,\ubaa8\ub798 \uc54c\uac31\uc774,\uc784\uc601\uc6c5,\ubaa8\ub798 \uc54c\uac31\uc774,0:02:22,Ballad,2023.6.5
61,STAY,The Kid LAROI,Stay,0:03:46,POP,2021.7.9
62,\uc0ac\ub791..\uadf8\uac8c \ubb54\ub370,\uc9c0\uc544,\uc0ac\ub791..\uadf8\uac8c \ubb54\ub370,0:02:27,Ballad,2023.5.12
63,"\uc774\uc05c \uc5ec\uc790\uac00 \uc88b\ub354\ub77c (Feat. Gist, Jayci yucca)",\ub9b4\ub7ec\ub9d0\uc988,\uc778\uc0dd\uc740 \ud55c\ubc88\uc774\uc57c,0:04:00,Rap/Hip Hop,2023.10.26
64,Still With You,\uc815\uad6d,Still With You,0:02:54,R&B/Soul,2020.6.5
65,\uaf43,\uc9c0\uc218,ME,0:04:35,Dance,2023.3.31
66,\ub2e4\uc2dc \ub9cc\ub0a0 \uc218 \uc788\uc744\uae4c,\uc784\uc601\uc6c5,IM HERO,0:03:16,Ballad,2022.5.22
67,\uac74\ubb3c \uc0ac\uc774\uc5d0 \ud53c\uc5b4\ub09c \uc7a5\ubbf8 (Rose Blossom),H1-KEY,H1-KEY 1st Mini Album [Rose Blossom],0:04:15,Dance,2023.1.5
