Music_ID,Title,Artist,Album,Duration,Genre,Release_Date
66,´Ù½Ã ¸¸³¯ ¼ö ÀÖÀ»±î,ÀÓ¿µ¿õ,IM HERO,0:03:16,Ballad,2022.5.22
67,°Ç¹° »çÀÌ¿¡ ÇÇ¾î³­ Àå¹Ì (Rose Blossom),H1-KEY,H1-KEY 1st Mini Album [Rose Blossom],0:04:15,Dance,2023.1.5
68,"¹ã, ¹Ù´Ù",ÃÖÀ¯¸®,¿©Çà: ÇÃ¸®(playlist) OST Part.2,0:03:19,Ballad,2023.10.29
69,CAKE,ITZY,KILL MY DOUBT,0:01:49,Dance,2023.7.31
70,New Jeans,NewJeans,NewJeans 2nd EP 'Get Up',0:04:03,Dance,2023.7.21
71,ÀÌÁ¦ ³ª¸¸ ¹Ï¾î¿ä,ÀÓ¿µ¿õ,³»ÀÏÀº ¹Ì½ºÅÍÆ®·Ô ¿ì½ÂÀÚ Æ¯Àü°î,0:04:34,Trot,2020.4.3
72,º½³¯,¹æÅº¼Ò³â´Ü,YOU NEVER WALK ALONE,0:02:56,Rap/Hip Hop,2017.2.13
73,»ç½Ç¸»¾ß³»°¡¸»¾ß±×°Ô±×·¯´Ï±î¸»ÀÌ¾ß,ÄÉÀÌ½Ã,»ç½Ç¸»¾ß³»°¡¸»¾ß±×°Ô±×·¯´Ï±î¸»ÀÌ¾ß,0:03:10,Ballad,2023.6.4
74,Teddy Bear,STAYC,Teddy Bear,0:03:35,Dance,2023.2.14
75,Vancouver 2,BIG Naughty,ICN > YVR,0:03:37,Rock/Metal,2023.11.23
76,Chill Kill,Red Velvet (·¹µåº§ºª),Chill Kill - The 3rd Album,0:03:27,Dance,2023.11.13
77,Ã¹ ´«,EXO,°Ü¿ï ½ºÆä¼È ¾Ù¹ü '12¿ùÀÇ ±âÀû (Miracles In December)',0:02:45,Ballad,2013.12.9
78,Butter,¹æÅº¼Ò³â´Ü,Butter,0:03:30,Dance,2021.5.21
79,¹«Áö°³,ÀÓ¿µ¿õ,IM HERO,0:02:16,Ballad,2022.5.22
80,"¸ðµç ³¯, ¸ðµç ¼ø°£ (Every day, Every Moment)",ÆúÅ´,'Å°½º ¸ÕÀú ÇÒ±î¿ä?' OST Part.3,0:04:05,Ballad,2018.3.20
81,Chili,È­»ç,Chili,0:03:31,Dance,2023.10.4
82,´Þºû¿¡ ±×·ÁÁö´Â,¹Ì¿¬,¿¬ÀÎ OST Part.4,0:04:05,Ballad,2023.8.20
83,KIDDING,ÀÌ¼¼°è¾ÆÀÌµ¹,KIDDING,0:03:59,Dance,2023.8.18
84,London Boy,ÀÓ¿µ¿õ,Polaroid,0:03:05,Rock/Metal,2022.11.15
85,¾Æ¹öÁö,ÀÓ¿µ¿õ,IM HERO,0:02:28,Ballad,2022.5.22
86,ANTIFRAGILE,LE SSERAFIM,ANTIFRAGILE,0:04:02,Dance,2022.10.17
